,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
3,813.0,22000.0,27000.0,Action|Thriller,1144337,106759.0,2701.0,250000000.0,23000.0,8.5,164000.0
5,462.0,475.0,640.0,Action|Adventure|Sci-Fi,212204,1873.0,738.0,263700000.0,632.0,6.6,24000.0
7,324.0,15.0,799.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,294810,2036.0,387.0,260000000.0,553.0,7.8,29000.0
9,375.0,282.0,25000.0,Adventure|Family|Fantasy|Mystery,321795,58753.0,973.0,250000000.0,11000.0,7.5,10000.0
13,313.0,563.0,40000.0,Action|Adventure|Fantasy,522040,48486.0,1832.0,225000000.0,5000.0,7.3,5000.0
14,450.0,563.0,40000.0,Action|Adventure|Western,181792,45757.0,711.0,215000000.0,2000.0,6.5,48000.0
18,448.0,252.0,40000.0,Action|Adventure|Fantasy,370704,54083.0,484.0,250000000.0,11000.0,6.7,58000.0
19,451.0,188.0,10000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,268154,12572.0,341.0,225000000.0,816.0,6.8,40000.0
21,599.0,464.0,15000.0,Action|Adventure|Fantasy,451803,28489.0,1225.0,230000000.0,10000.0,7.0,56000.0
27,516.0,94.0,21000.0,Action|Adventure|Sci-Fi,272670,64798.0,1022.0,250000000.0,19000.0,8.2,72000.0
28,377.0,532.0,14000.0,Action|Adventure|Sci-Fi|Thriller,202382,26679.0,751.0,209000000.0,10000.0,5.9,44000.0
29,644.0,365.0,3000.0,Action|Adventure|Sci-Fi|Thriller,418214,8458.0,1290.0,150000000.0,2000.0,7.0,150000.0
32,608.0,1000.0,21000.0,Action|Adventure|Sci-Fi,557489,30426.0,1187.0,200000000.0,4000.0,7.2,95000.0
33,451.0,13000.0,40000.0,Adventure|Family|Fantasy,306320,79957.0,736.0,200000000.0,25000.0,6.5,24000.0
35,376.0,37.0,12000.0,Adventure|Animation|Comedy|Family|Fantasy,235025,14863.0,265.0,200000000.0,779.0,7.3,44000.0
39,495.0,464.0,15000.0,Action|Adventure|Fantasy|Sci-Fi,321227,28631.0,1067.0,200000000.0,10000.0,6.7,41000.0
40,469.0,364.0,12000.0,Action|Adventure|Sci-Fi,264183,25550.0,665.0,170000000.0,10000.0,6.8,30000.0
41,304.0,487.0,1000.0,Adventure|Animation|Comedy|Family|Sport,101178,4482.0,283.0,200000000.0,919.0,6.3,10000.0
42,436.0,258.0,16000.0,Action|Adventure|Sci-Fi,223393,17657.0,550.0,200000000.0,368.0,5.6,24000.0
43,453.0,125.0,15000.0,Adventure|Animation|Comedy|Family|Fantasy,544884,19085.0,733.0,200000000.0,1000.0,8.3,30000.0
46,654.0,395.0,17000.0,Action|Adventure|Horror|Sci-Fi|Thriller,465019,32392.0,995.0,190000000.0,11000.0,7.0,129000.0
48,590.0,14000.0,19000.0,Action|Adventure|Sci-Fi,395573,21411.0,1171.0,190000000.0,981.0,7.8,92000.0
50,490.0,1000.0,29000.0,Drama|Romance,362912,29770.0,753.0,105000000.0,509.0,7.3,115000.0
51,306.0,179.0,15000.0,Action|Adventure|Fantasy|Romance,222403,16149.0,453.0,200000000.0,567.0,6.6,23000.0
54,470.0,14000.0,11000.0,Action|Adventure|Fantasy,333847,14959.0,2054.0,185000000.0,1000.0,6.2,5000.0
56,488.0,56.0,2000.0,Adventure|Animation|Comedy|Family|Fantasy,273556,5005.0,428.0,185000000.0,1000.0,7.2,39000.0
57,322.0,681.0,998.0,Action|Adventure|Sci-Fi|Thriller,53607,1327.0,432.0,185000000.0,119.0,7.5,30000.0
58,421.0,475.0,1000.0,Adventure|Animation|Family|Sci-Fi,718837,2975.0,1043.0,180000000.0,729.0,8.4,16000.0
60,367.0,776.0,1000.0,Action|Adventure|Sci-Fi,283418,2144.0,1055.0,200000000.0,468.0,5.8,13000.0
63,248.0,282.0,11000.0,Action|Adventure|Drama|Romance,42372,21175.0,239.0,180000000.0,10000.0,6.6,29000.0
66,645.0,22000.0,23000.0,Action|Crime|Drama|Thriller,1676169,57802.0,4667.0,185000000.0,13000.0,9.0,37000.0
69,486.0,4000.0,21000.0,Action|Adventure|Sci-Fi,696338,39252.0,1055.0,140000000.0,12000.0,7.9,10000.0
70,682.0,17000.0,17000.0,Adventure|Drama|Family|Mystery,245333,36017.0,678.0,170000000.0,16000.0,7.5,42000.0
73,418.0,452.0,10000.0,Action|Adventure|Comedy|Sci-Fi,118992,11287.0,971.0,175000000.0,336.0,6.9,80000.0
74,186.0,293.0,87000.0,Comedy|Family|Fantasy,115099,108016.0,257.0,175000000.0,11000.0,5.4,2000.0
75,585.0,218.0,10000.0,Action|Adventure|Sci-Fi,431620,12652.0,741.0,178000000.0,854.0,7.9,77000.0
79,370.0,4000.0,19000.0,Adventure|Drama|Family|Fantasy,106072,32921.0,398.0,175000000.0,13000.0,7.8,65000.0
80,453.0,4000.0,21000.0,Action|Adventure|Sci-Fi,522371,48638.0,723.0,200000000.0,19000.0,7.0,18000.0
81,416.0,274.0,26000.0,Action|Adventure|Drama|Fantasy,228554,72881.0,710.0,170000000.0,17000.0,6.1,53000.0
