,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
3,813,22000,27000,1144337,106759,2701,250000000,23000,8,164000
5,462,475,640,212204,1873,738,263700000,632,6,24000
7,324,15,799,294810,2036,387,260000000,553,7,29000
9,375,282,25000,321795,58753,973,250000000,11000,7,10000
13,313,563,40000,522040,48486,1832,225000000,5000,7,5000
14,450,563,40000,181792,45757,711,215000000,2000,6,48000
18,448,252,40000,370704,54083,484,250000000,11000,6,58000
19,451,188,10000,268154,12572,341,225000000,816,6,40000
21,599,464,15000,451803,28489,1225,230000000,10000,7,56000
27,516,94,21000,272670,64798,1022,250000000,19000,8,72000
28,377,532,14000,202382,26679,751,209000000,10000,5,44000
29,644,365,3000,418214,8458,1290,150000000,2000,7,150000
32,608,1000,21000,557489,30426,1187,200000000,4000,7,95000
33,451,13000,40000,306320,79957,736,200000000,25000,6,24000
35,376,37,12000,235025,14863,265,200000000,779,7,44000
39,495,464,15000,321227,28631,1067,200000000,10000,6,41000
40,469,364,12000,264183,25550,665,170000000,10000,6,30000
41,304,487,1000,101178,4482,283,200000000,919,6,10000
42,436,258,16000,223393,17657,550,200000000,368,5,24000
43,453,125,15000,544884,19085,733,200000000,1000,8,30000
46,654,395,17000,465019,32392,995,190000000,11000,7,129000
48,590,14000,19000,395573,21411,1171,190000000,981,7,92000
50,490,1000,29000,362912,29770,753,105000000,509,7,115000
51,306,179,15000,222403,16149,453,200000000,567,6,23000
54,470,14000,11000,333847,14959,2054,185000000,1000,6,5000
56,488,56,2000,273556,5005,428,185000000,1000,7,39000
57,322,681,998,53607,1327,432,185000000,119,7,30000
58,421,475,1000,718837,2975,1043,180000000,729,8,16000
60,367,776,1000,283418,2144,1055,200000000,468,5,13000
63,248,282,11000,42372,21175,239,180000000,10000,6,29000
66,645,22000,23000,1676169,57802,4667,185000000,13000,9,37000
69,486,4000,21000,696338,39252,1055,140000000,12000,7,10000
70,682,17000,17000,245333,36017,678,170000000,16000,7,42000
73,418,452,10000,118992,11287,971,175000000,336,6,80000
74,186,293,87000,115099,108016,257,175000000,11000,5,2000
75,585,218,10000,431620,12652,741,178000000,854,7,77000
79,370,4000,19000,106072,32921,398,175000000,13000,7,65000
80,453,4000,21000,522371,48638,723,200000000,19000,7,18000
81,416,274,26000,228554,72881,710,170000000,17000,6,53000
82,401,171,11000,252257,15516,634,180000000,2000,7,89000
83,521,198,10000,317542,14363,620,170000000,2000,7,45000
85,218,47,18000,116994,20965,324,175000000,1000,6,35000
86,576,94,19000,496749,36188,742,170000000,11000,7,55000
88,443,663,2000,128306,5046,497,190000000,638,6,37000
89,384,38,756,279093,2963,433,165000000,719,7,41000
90,377,66,975,272534,4451,345,165000000,931,7,40000
92,286,776,890,58137,3233,520,165000000,812,5,67000
93,288,255,18000,485430,20453,492,165000000,953,8,33000
95,653,571,14000,682155,32438,1097,170000000,14000,8,96000
96,712,22000,11000,928227,31488,2725,165000000,11000,8,349000
97,642,22000,29000,1468200,81115,2803,160000000,27000,8,175000
100,187,357,23000,272223,45327,988,38000000,14000,6,14000
101,362,21000,11000,459346,13333,822,150000000,1000,7,23000
102,500,905,34000,518537,50983,698,160000000,13000,7,54000
103,389,508,34000,166137,81385,383,160000000,22000,6,38000
104,235,226,12000,124185,13388,238,150000000,418,6,11000
106,218,33,40000,21352,80806,131,170000000,25000,6,30000
109,474,230,24000,188457,38873,867,155000000,10000,6,82000
110,228,150,531,106446,764,227,155000000,82,6,11000
117,323,508,10000,530870,13076,1413,150000000,1000,7,11000
119,318,663,1000,473887,4764,626,150000000,1000,8,10000
120,478,22000,23000,980946,59558,2685,150000000,14000,8,15000
122,185,189,49000,130272,54039,209,150000000,3000,5,2000
125,406,69,1000,421658,2582,904,150000000,523,7,58000
127,486,230,26000,414070,59803,532,170000000,20000,7,63000
128,739,750,27000,552503,40025,1588,150000000,9000,8,191000
133,310,473,14000,152826,16184,253,150000000,897,5,19000
134,526,13000,40000,199039,80849,479,100000000,17000,6,82000
135,465,188,10000,232187,21840,440,150000000,10000,7,47000
137,248,282,11000,42372,21175,239,180000000,10000,6,29000
139,284,90,11000,182718,21015,209,150000000,10000,7,20000
142,339,776,17000,164238,18204,434,150000000,551,6,33000
145,256,456,20000,39956,21393,186,150000000,548,5,24000
146,196,50,3000,47900,5810,130,145000000,1000,6,11000
148,211,35,851,119213,2444,154,145000000,770,6,17000
150,464,176,783,69757,2097,1211,144000000,370,5,62000
152,208,188,10000,270207,14823,606,140000000,3000,6,2000
154,210,5,24000,64322,36095,145,145000000,11000,7,24000
155,432,663,10000,365104,21768,512,145000000,10000,7,35000
156,256,52,20000,123553,20645,174,145000000,315,7,25000
157,135,23,957,110788,1997,258,100000000,550,6,2000
160,518,14000,26000,504419,39284,1559,150000000,12000,8,19000
162,292,255,18000,221128,23378,343,145000000,3000,7,46000
163,184,295,18000,51892,19769,273,140000000,934,5,24000
168,351,209,17000,146352,31958,288,130000000,12000,5,42000
171,510,394,11000,508818,19761,679,140000000,3000,6,46000
172,197,150,766,157519,2037,683,135000000,536,6,2000
174,322,386,21000,185394,59177,329,120000000,17000,5,65000
178,252,14000,535,12572,1950,106,140000000,400,6,27000
180,166,13,16000,62424,17416,90,135000000,881,6,13000
181,362,563,40000,183208,43291,337,135000000,1000,7,26000
182,153,35,19000,60230,19963,118,132000000,411,6,11000
184,266,54,11000,307029,12754,360,130000000,967,7,6000
185,517,235,2000,313866,5730,549,130000000,2000,7,61000
186,502,508,34000,498397,49355,706,130000000,14000,7,82000
187,322,386,21000,185394,59177,329,120000000,17000,5,65000
188,165,12,17000,70121,17883,214,135000000,523,6,26000
191,246,50,4000,114287,5046,137,130000000,442,6,16000
192,330,176,11000,245621,12406,514,110000000,702,6,23000
194,440,14000,2000,177383,4631,447,135000000,871,7,44000
200,154,189,49000,67223,53587,126,127000000,3000,6,11000
201,233,96,24000,172754,46120,187,130000000,11000,7,13000
203,208,124,16000,91640,31549,210,130000000,12000,5,20000
205,271,563,40000,809474,48184,2113,140000000,5000,8,10000
207,403,508,34000,305008,81385,591,125000000,22000,6,52000
211,342,681,23000,284792,55345,366,125000000,14000,7,54000
213,344,255,14000,229679,18003,637,125000000,1000,5,15000
216,436,209,10000,229823,12175,504,125000000,826,6,31000
219,239,776,15000,333248,20553,1159,125000000,2000,6,19000
225,267,521,13000,40123,13752,297,120000000,365,7,31000
228,71,50,886,36471,2682,69,120000000,799,5,459
229,476,662,13000,338087,17689,814,115000000,2000,6,61000
231,492,294,10000,182899,14161,630,100000000,2000,6,60000
234,283,446,10000,148280,12731,348,117000000,973,6,11000
235,539,364,11000,387436,22004,892,120000000,10000,7,71000
239,440,446,20000,328067,23755,533,120000000,992,6,68000
241,257,16,16000,150618,43286,195,135000000,15000,7,28000
244,231,19,26000,37750,46719,134,115000000,11000,6,16000
245,348,473,833,167085,2690,491,125000000,809,5,62000
248,181,13,5000,17533,8306,115,135000000,833,6,12000
249,369,128,596,110486,1261,695,120000000,360,4,41000
250,179,189,49000,234480,55486,444,110000000,3000,6,3000
251,358,62,12000,147497,16718,499,110000000,2000,6,52000
253,192,776,13000,207613,19454,1144,110000000,2000,7,4000
256,263,124,14000,154621,22622,258,110000000,5000,6,27000
259,447,1000,11000,136019,13391,443,120000000,1000,5,14000
261,366,263,6000,225273,10583,523,110000000,1000,6,71000
262,172,67,383,66593,692,153,110000000,113,5,31000
263,104,6,12000,13581,13607,88,110000000,513,5,304
264,181,124,6000,44296,12452,144,110000000,5000,5,12000
265,327,189,20000,254841,22254,426,110000000,929,7,36000
267,79,101,673,60573,2027,248,160000000,368,3,894
268,326,151,11000,184561,12908,554,110000000,635,6,123000
273,109,34,760,36033,2762,456,109000000,743,3,946
277,228,63,852,89351,2480,214,105000000,578,7,5000
281,62,23,752,4102,3133,89,90000000,631,4,53
294,265,285,12000,189806,20233,316,100000000,8000,6,16000
296,765,16000,29000,955174,40978,1193,100000000,11000,8,199000
299,383,165,26000,246803,57881,474,92000000,13000,6,108000
303,256,456,20000,39956,21393,186,150000000,548,5,24000
304,203,77,14000,85833,14552,113,100000000,151,6,17000
305,321,207,40000,176598,55175,374,100000000,11000,6,25000
307,166,380,29000,400292,33160,657,100000000,3000,8,14000
308,606,17000,29000,780588,46057,1138,100000000,11000,8,138000
311,511,670,15000,284825,22686,828,102000000,5000,7,124000
314,245,420,12000,115687,16235,269,100000000,3000,6,21000
317,320,385,26000,127258,52610,351,90000000,13000,6,56000
318,163,19,1000,33953,3962,163,105000000,897,5,37000
319,78,6,490,40751,1195,239,84000000,294,2,881
320,289,2000,26000,71782,28328,161,100000000,911,7,27000
321,66,31,3000,20295,6161,164,100000000,695,3,416
323,208,20,144,27918,309,155,99000000,42,7,33000
324,97,342,623,18697,1722,263,10000000,508,7,578
327,136,611,23000,38690,23240,130,94000000,196,7,13000
331,255,116,8000,106790,9271,177,95000000,331,6,18000
335,233,20,22000,145321,25354,139,95000000,1000,6,14000
338,301,475,1000,692482,5641,866,94000000,939,8,11000
341,175,44,12000,54501,17098,154,95000000,3000,5,16000
345,529,81,11000,403836,13118,646,93000000,1000,7,47000
347,412,212,13000,165618,15481,503,92000000,787,5,66000
348,106,102,2000,16832,5780,267,107000000,973,6,701
350,61,212,1000,21102,3611,169,98000000,903,5,1000
354,316,12000,18000,149947,25780,326,100000000,3000,6,18000
361,352,17000,29000,873649,45648,2054,90000000,13000,8,29000
362,143,7,2000,171792,4478,222,90000000,500,7,12000
364,517,21000,18000,330152,20388,632,90000000,1000,7,54000
373,281,14000,3000,238747,6217,2153,100000000,882,7,11000
374,122,50,691,32049,2622,179,90000000,569,4,988
378,183,87,8000,86627,10882,204,90000000,956,5,28000
380,196,209,11000,40862,23031,139,90000000,11000,6,15000
